cohort,prompt_id,factor,ia_pct,male_n,n
rheumatoid_arthritis,26,1,5.7,2,35
rheumatoid_arthritis,26,2,0.0,0,35
rheumatoid_arthritis,26,3,0.0,0,35
rheumatoid_arthritis,26,4,0.0,0,35
rheumatoid_arthritis,26,5,0.0,0,35
rheumatoid_arthritis,27,0,0.0,0,35
rheumatoid_arthritis,27,1,11.4,4,35
rheumatoid_arthritis,27,2,2.9,1,35
rheumatoid_arthritis,27,3,2.9,1,35
rheumatoid_arthritis,27,4,11.4,4,35
rheumatoid_arthritis,27,5,11.4,4,35
rheumatoid_arthritis,28,0,11.4,4,35
rheumatoid_arthritis,28,1,17.1,6,35
rheumatoid_arthritis,28,2,8.6,3,35
rheumatoid_arthritis,28,3,14.3,5,35
rheumatoid_arthritis,28,4,14.3,5,35
rheumatoid_arthritis,28,5,17.1,6,35
rheumatoid_arthritis,29,0,5.7,2,35
rheumatoid_arthritis,29,1,0.0,0,35
rheumatoid_arthritis,29,2,2.9,1,35
rheumatoid_arthritis,29,3,0.0,0,35
rheumatoid_arthritis,29,4,2.9,1,35
rheumatoid_arthritis,29,5,0.0,0,35
rheumatoid_arthritis,30,0,5.7,2,35
rheumatoid_arthritis,30,1,5.7,2,35
rheumatoid_arthritis,30,2,8.6,3,35
rheumatoid_arthritis,30,3,8.6,3,35
rheumatoid_arthritis,30,4,2.9,1,35
rheumatoid_arthritis,30,5,2.9,1,35
rheumatoid_arthritis,31,0,8.6,3,35
rheumatoid_arthritis,31,1,11.4,4,35
rheumatoid_arthritis,31,2,5.7,2,35
rheumatoid_arthritis,31,3,0.0,0,35
rheumatoid_arthritis,31,4,0.0,0,35
rheumatoid_arthritis,31,5,2.9,1,35
sarcoidosis,0,0,62.9,22,35
sarcoidosis,0,1,82.9,29,35
sarcoidosis,0,2,57.1,20,35
sarcoidosis,0,3,57.1,20,35
sarcoidosis,0,4,65.7,23,35
sarcoidosis,0,5,60.0,21,35
sarcoidosis,1,0,17.1,6,35
sarcoidosis,1,1,25.7,9,35
sarcoidosis,1,2,5.7,2,35
sarcoidosis,1,3,5.7,2,35
sarcoidosis,1,4,11.4,4,35
sarcoidosis,1,5,5.7,2,35
sarcoidosis,2,0,68.6,24,35
sarcoidosis,2,1,54.3,19,35
sarcoidosis,2,2,60.0,21,35
sarcoidosis,2,3,37.1,13,35
sarcoidosis,2,4,54.3,19,35
sarcoidosis,2,5,48.6,17,35
sarcoidosis,3,0,74.3,26,35
sarcoidosis,3,1,74.3,26,35
sarcoidosis,3,2,60.0,21,35
sarcoidosis,3,3,68.6,24,35
sarcoidosis,3,4,42.9,15,35
sarcoidosis,3,5,57.1,20,35
sarcoidosis,4,0,0.0,0,35
sarcoidosis,4,1,5.7,2,35
sarcoidosis,4,2,14.3,5,35
sarcoidosis,4,3,2.9,1,35
sarcoidosis,4,4,5.7,2,35
sarcoidosis,4,5,8.6,3,35
sarcoidosis,5,0,28.6,10,35
sarcoidosis,5,1,22.9,8,35
sarcoidosis,5,2,40.0,14,35
sarcoidosis,5,3,28.6,10,35
sarcoidosis,5,4,28.6,10,35
sarcoidosis,5,5,20.0,7,35
sarcoidosis,6,0,31.4,11,35
sarcoidosis,6,1,54.3,19,35
sarcoidosis,6,2,34.3,12,35
sarcoidosis,6,3,40.0,14,35
sarcoidosis,6,4,37.1,13,35
sarcoidosis,6,5,25.7,9,35
sarcoidosis,7,0,2.9,1,35
sarcoidosis,7,1,0.0,0,35
sarcoidosis,7,2,0.0,0,35
sarcoidosis,7,3,0.0,0,35
sarcoidosis,7,4,11.4,4,35
sarcoidosis,7,5,5.7,2,35
sarcoidosis,8,0,65.7,23,35
sarcoidosis,8,1,80.0,28,35
sarcoidosis,8,2,77.1,27,35
sarcoidosis,8,3,68.6,24,35
sarcoidosis,8,4,71.4,25,35
sarcoidosis,8,5,48.6,17,35
sarcoidosis,9,0,31.4,11,35
sarcoidosis,9,1,22.9,8,35
sarcoidosis,9,2,20.0,7,35
sarcoidosis,9,3,25.7,9,35
sarcoidosis,9,4,20.0,7,35
sarcoidosis,9,5,14.3,5,35
sarcoidosis,10,0,20.0,7,35
sarcoidosis,10,1,17.1,6,35
sarcoidosis,10,2,28.6,10,35
sarcoidosis,10,3,17.1,6,35
sarcoidosis,10,4,8.6,3,35
sarcoidosis,10,5,31.4,11,35
sarcoidosis,11,0,74.3,26,35
sarcoidosis,11,1,82.9,29,35
sarcoidosis,11,2,54.3,19,35
sarcoidosis,11,3,65.7,23,35
sarcoidosis,11,4,60.0,21,35
sarcoidosis,11,5,45.7,16,35
sarcoidosis,12,0,20.0,7,35
sarcoidosis,12,1,17.1,6,35
sarcoidosis,12,2,11.4,4,35
sarcoidosis,12,3,14.3,5,35
sarcoidosis,12,4,22.9,8,35
sarcoidosis,12,5,17.1,6,35
sarcoidosis,13,0,17.1,6,35
sarcoidosis,13,1,25.7,9,35
sarcoidosis,13,2,31.4,11,35
sarcoidosis,13,3,17.1,6,35
sarcoidosis,13,4,14.3,5,35
sarcoidosis,13,5,25.7,9,35
sarcoidosis,14,0,37.1,13,35
sarcoidosis,14,1,45.7,16,35
sarcoidosis,14,2,48.6,17,35
sarcoidosis,14,3,51.4,18,35
sarcoidosis,14,4,42.9,15,35
sarcoidosis,14,5,65.7,23,35
sarcoidosis,15,0,2.9,1,35
sarcoidosis,15,1,2.9,1,35
sarcoidosis,15,2,2.9,1,35
sarcoidosis,15,3,5.7,2,35
sarcoidosis,15,4,2.9,1,35
sarcoidosis,15,5,0.0,0,35
sarcoidosis,16,0,8.6,3,35
sarcoidosis,16,1,0.0,0,35
sarcoidosis,16,2,2.9,1,35
sarcoidosis,16,3,2.9,1,35
sarcoidosis,16,4,0.0,0,35
sarcoidosis,16,5,5.7,2,35
sarcoidosis,17,0,0.0,0,35
sarcoidosis,17,1,0.0,0,35
sarcoidosis,17,2,0.0,0,35
sarcoidosis,17,3,0.0,0,35
sarcoidosis,17,4,0.0,0,35
sarcoidosis,17,5,0.0,0,35
sarcoidosis,18,0,2.9,1,35
sarcoidosis,18,1,5.7,2,35
sarcoidosis,18,2,5.7,2,35
sarcoidosis,18,3,2.9,1,35
sarcoidosis,18,4,8.6,3,35
sarcoidosis,18,5,8.6,3,35
sarcoidosis,19,0,14.3,5,35
sarcoidosis,19,1,2.9,1,35
sarcoidosis,19,2,2.9,1,35
sarcoidosis,19,3,8.6,3,35
sarcoidosis,19,4,0.0,0,35
sarcoidosis,19,5,2.9,1,35
sarcoidosis,20,0,22.9,8,35
sarcoidosis,20,1,14.3,5,35
sarcoidosis,20,2,11.4,4,35
sarcoidosis,20,3,8.6,3,35
sarcoidosis,20,4,17.1,6,35
sarcoidosis,20,5,2.9,1,35
sarcoidosis,21,0,65.7,23,35
sarcoidosis,21,1,71.4,25,35
sarcoidosis,21,2,48.6,17,35
sarcoidosis,21,3,51.4,18,35
sarcoidosis,21,4,37.1,13,35
sarcoidosis,21,5,57.1,20,35
sarcoidosis,22,0,48.6,17,35
sarcoidosis,22,1,54.3,19,35
sarcoidosis,22,2,40.0,14,35
sarcoidosis,22,3,57.1,20,35
sarcoidosis,22,4,42.9,15,35
sarcoidosis,22,5,65.7,23,35
sarcoidosis,23,0,80.0,28,35
sarcoidosis,23,1,57.1,20,35
sarcoidosis,23,2,40.0,14,35
sarcoidosis,23,3,51.4,18,35
sarcoidosis,23,4,54.3,19,35
sarcoidosis,23,5,45.7,16,35
sarcoidosis,24,0,8.6,3,35
sarcoidosis,24,1,11.4,4,35
sarcoidosis,24,2,8.6,3,35
sarcoidosis,24,3,14.3,5,35
sarcoidosis,24,4,8.6,3,35
sarcoidosis,24,5,5.7,2,35
sarcoidosis,25,0,8.6,3,35
sarcoidosis,25,1,8.6,3,35
sarcoidosis,25,2,5.7,2,35
sarcoidosis,25,3,17.1,6,35
sarcoidosis,25,4,8.6,3,35
sarcoidosis,25,5,8.6,3,35
sarcoidosis,26,0,0.0,0,35
sarcoidosis,26,1,2.9,1,35
sarcoidosis,26,2,2.9,1,35
sarcoidosis,26,3,2.9,1,35
sarcoidosis,26,4,0.0,0,35
sarcoidosis,26,5,2.9,1,35
sarcoidosis,27,0,17.1,6,35
sarcoidosis,27,1,8.6,3,35
sarcoidosis,27,2,11.4,4,35
sarcoidosis,27,3,28.6,10,35
sarcoidosis,27,4,8.6,3,35
sarcoidosis,27,5,17.1,6,35
sarcoidosis,28,0,17.1,6,35
sarcoidosis,28,1,42.9,15,35
sarcoidosis,28,2,42.9,15,35
sarcoidosis,28,3,31.4,11,35
sarcoidosis,28,4,42.9,15,35
sarcoidosis,28,5,31.4,11,35
sarcoidosis,29,0,2.9,1,35
sarcoidosis,29,1,0.0,0,35
sarcoidosis,29,2,0.0,0,35
sarcoidosis,29,3,0.0,0,35
sarcoidosis,29,4,2.9,1,35
sarcoidosis,29,5,0.0,0,35
sarcoidosis,30,0,48.6,17,35
sarcoidosis,30,1,40.0,14,35
sarcoidosis,30,2,22.9,8,35
sarcoidosis,30,3,48.6,17,35
sarcoidosis,30,4,40.0,14,35
sarcoidosis,30,5,42.9,15,35
sarcoidosis,31,0,54.3,19,35
sarcoidosis,31,1,60.0,21,35
sarcoidosis,31,2,34.3,12,35
sarcoidosis,31,3,34.3,12,35
sarcoidosis,31,4,31.4,11,35
sarcoidosis,31,5,45.7,16,35
